month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2010-03,2010-03-31,458492.20963139605,458492.20963139605,0.0,62.31017492019062,-10.796783168740092,0,23,51.51339175138855,-10.796783168802065,0.00011236653328102554
2010-04,2010-04-30,458548.57385376375,458548.57385376375,0.0,61.81212208861798,-5.447899720917597,1,21,56.364222367701586,-5.447899720916396,0.00012293387146755557
2010-05,2010-05-28,458452.20214815735,458452.20214815735,0.0,56.5914481805289,-152.9631537868931,11,20,-96.37170560640516,-152.96315378693407,-0.00021016684186033293
2010-06,2010-06-30,458586.6745508288,458586.6745508288,0.0,52.238881756025435,82.23352091550557,4,22,134.47240267146844,82.23352091544301,0.0002933182609689182
2010-07,2010-07-30,458692.1355824295,458692.1355824295,0.0,61.05782730537074,44.40320429513986,0,21,105.46103160065832,44.40320429528757,0.00022996968174872082
2010-08,2010-08-31,458579.2887933273,458980.17883150803,-400.89003818076804,62.71802431056009,-5.564813412849228,0,22,-112.84678910218645,-175.56481341274653,-0.00024601858272302394
2010-09,2010-09-30,458482.97194396146,458482.97194396146,0.0,57.24515737047997,-323.5620067362837,0,21,-96.31684936583042,-153.5620067363104,-0.00021003314305639855
2010-10,2010-10-29,458643.03849655815,458643.03849655815,0.0,50.33930354282832,109.72724905365564,0,21,160.0665525966906,109.72724905386228,0.0003491221318820427
2010-11,2010-11-30,458791.22921828827,458791.22921828827,0.0,56.85354399548429,91.33717773463579,1,21,148.19072173011955,91.33717773463526,0.00032310688115073536
2010-12,2010-12-31,458942.7480234659,458942.7480234659,0.0,55.21800308905068,96.30080208870763,0,22,151.51880517764948,96.3008020885988,0.0003302565426889588
2011-01,2011-01-31,459118.80567986233,459118.80567986233,0.0,58.68496104699718,117.3726953493074,0,20,176.05765639641322,117.37269534941603,0.000383615728006691
2011-02,2011-02-28,459202.8615330022,459202.8615330022,0.0,46.06695184222812,37.98890129768013,0,19,84.05585313984193,37.98890129761381,0.0001830808324554952
2011-03,2011-03-31,459340.2364856782,459340.2364856782,0.0,39.436725789618755,97.93822688638531,4,23,137.37495267600752,97.93822688638878,0.0002991596180768456
