month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2010-02,2010-02-26,449418.0496656129,449418.0496656129,0.0,35.495350560552595,465.71084984785205,3,19,501.20620040857466,465.71084984802206,0.00111647893747926
2010-03,2010-03-31,449266.01375372085,449266.01375372085,0.0,60.80330094044454,-212.83921283260665,0,23,-152.0359118920751,-212.83921283251962,-0.0003382950729397642
2010-04,2010-04-30,449682.65050335054,449682.65050335054,0.0,60.7989447303776,355.83780489941535,1,21,416.636749629688,355.8378048993104,0.0009273720621522027
2010-05,2010-05-28,448068.9637952145,448068.9637952145,0.0,55.35681221971159,-1669.0435203556865,10,20,-1613.6867081360542,-1669.0435203557658,-0.003588501149265555
2010-06,2010-06-30,448169.95066790044,448169.95066790044,0.0,51.70979911655898,49.27707356934593,5,22,100.98687268595677,49.277073569397785,0.00022538243182607896
2010-07,2010-07-30,448251.4316860549,448251.4316860549,0.0,59.53795473873867,21.943063415692535,0,21,81.48101815447444,21.94306341573577,0.00018180830292848638
2010-08,2010-08-31,446885.83423904167,449131.8311216263,-2245.996882584664,62.192050200971764,-492.7894972141923,0,22,-1365.5974470132496,-1427.7894972142215,-0.003046498796170456
2010-09,2010-09-30,447421.70996065455,447421.70996065455,0.0,55.98425336611458,-455.10853175320636,0,21,535.875721612887,479.89146824677243,0.0011991333816283919
2010-10,2010-10-29,447865.09054838255,447865.09054838255,0.0,49.838987641744836,393.5416000863505,0,21,443.3805877279956,393.54160008625075,0.0009909679791063014
2010-11,2010-11-30,448474.9546159909,448474.9546159909,0.0,55.35886960211428,554.5051980062606,1,21,609.8640676083742,554.5051980062599,0.001361713784974029
2010-12,2010-12-31,449123.1715693588,449123.1715693588,0.0,56.07558978222655,592.1413635855766,0,22,648.216953367868,592.1413635856414,0.001445380498277562
2011-01,2011-01-31,449793.94490653224,449793.94490653224,0.0,57.42158506989185,613.351752103541,0,20,670.7733371734503,613.3517521035584,0.0014935175462659506
2011-02,2011-02-28,449836.0693173875,449836.0693173875,0.0,44.826037909472916,-2.7016270542342085,0,19,42.1244108552346,-2.7016270542383154,9.3652685484657e-05
2011-03,2011-03-31,450362.6384202898,450362.6384202898,0.0,39.5816793791739,486.9874235232278,4,23,526.5691029023146,486.9874235231407,0.0011705799930658454
2011-04,2011-04-29,450999.836580968,450999.836580968,0.0,23.315907844402776,613.8822528338014,0,20,637.1981606782065,613.8822528338037,0.0014148557325120675
2011-05,2011-05-31,450718.0970086619,452833.98389119713,-2115.886882535249,15.571629322773344,637.6887983710507,0,21,-281.7395723061054,-297.31120162887873,-0.0006246999432238701
