entry_date,expiry,nominal_expiry,entry_spot,entry_dte,sigma_h,rv21,rv63,vix_entry,vix3m_entry,long_put,short_put,short_call,long_call,width,credit_mid,credit_net,credit_usd,max_loss_usd,contracts,equity_at_entry,exit_date,exit_dte,exit_spot,exit_debit_net,exit_reason,days_held,pnl_usd,mae_usd,mfe_usd,min_low,max_high,put_touch,call_touch,put_finish,call_finish,same_expiry_reentry
2021-06-14,2021-07-16,2021-07-16,4247.43994140625,32,0.04633859782886385,0.09394720838760279,0.11621477885937732,15.649999618530272,19.63999938964844,3800.0,3855.0,4545.0,4600.0,55.0,4.755904063133642,4.355904063133641,1306.7712189400922,15193.228781059908,3,522443.1508827016,2021-06-24,22,4241.83984375,1.7444771685795621,profit_target,8,753.4280683662237,-504.0585791887967,783.4280683662237,4164.39990234375,4257.16015625,False,False,False,False,True
2021-07-06,2021-08-20,2021-08-20,4352.33984375,45,0.05291430157582693,0.08745624868837448,0.1072709675861522,15.06999969482422,19.299999237060547,3835.0,3890.0,4700.0,4755.0,55.0,6.808541858214824,6.408541858214823,1922.562557464447,14577.437442535553,3,523210.973730501,2021-07-26,25,4411.7900390625,2.7552296868608948,profit_target,14,1065.9936514061787,-791.4478527327612,1095.9936514061787,4233.1298828125,4415.18017578125,False,False,False,False,False
2021-08-03,2021-09-17,2021-09-17,4387.16015625,45,0.06832861851846991,0.11704141521866201,0.1139151083229075,19.459999084472656,23.049999237060547,3735.0,3790.0,4835.0,4890.0,55.0,6.493751337182118,6.093751337182118,1828.1254011546355,14671.874598845363,3,524298.693091035,2021-08-13,35,4460.830078125,2.8457439036721808,profit_target,8,944.4022300529812,-87.74774883526923,974.4022300529812,4373.0,4461.77001953125,False,False,False,False,False
2021-08-13,2021-09-17,2021-09-17,4460.830078125,35,0.04827627020389801,0.10832811968676632,0.09668646098696784,15.59000015258789,20.25,3970.0,4030.0,4785.0,4845.0,60.0,5.959721003313149,5.559721003313149,1667.9163009939448,16332.083699006054,3,525250.6952713623,2021-08-24,24,4479.52978515625,2.7659198893803008,profit_target,7,808.1403341798543,-872.957439196713,838.1403341798543,4367.72998046875,4489.8798828125,False,False,False,False,True
2021-08-31,2021-10-15,2021-10-15,4528.7900390625,45,0.0568468870683621,0.0840567852893274,0.0954691339365445,16.190000534057617,20.399999618530273,3955.0,4015.0,4915.0,4975.0,60.0,7.405486281059893,7.005486281059893,2101.645884317968,15898.354115682032,3,526073.9037751304,2021-09-24,21,4448.97998046875,1.8030073796461874,profit_target,17,1530.7436704241118,-180.82997180912878,1560.7436704241118,4305.91015625,4545.85009765625,False,False,False,False,False
2021-10-05,2021-11-19,2021-11-19,4300.4599609375,45,0.08061793897406362,0.14037160654044056,0.11664149516706224,22.959999084472656,24.11000061035156,3550.0,3605.0,4820.0,4875.0,55.0,5.441993932512787,5.041993932512787,1512.598179753836,14987.401820246163,3,527626.0627120204,2021-10-18,32,4471.3701171875,2.4131185964968593,profit_target,9,758.6626008047782,-118.5905524508879,788.6626008047782,4290.490234375,4475.81982421875,False,False,False,False,False
2021-10-18,2021-11-19,2021-11-19,4471.3701171875,32,0.04826320304587139,0.16249904069430363,0.11674000257943543,16.299999237060547,20.299999237060547,3980.0,4040.0,4795.0,4855.0,60.0,5.248610965283731,4.848610965283731,1454.5832895851192,16545.41671041488,3,528393.9856319845,2021-10-29,21,4596.419921875,3.618511759055051,dte_exit,9,339.029761868604,-199.47714648932867,563.5933823051805,4447.47021484375,4598.52978515625,False,False,False,False,True
2021-11-02,2021-12-17,2021-12-17,4613.669921875,45,0.05761935622888323,0.10411589385725892,0.11153673498351735,16.40999984741211,20.38999938964844,4020.0,4080.0,5010.0,5070.0,60.0,7.3153925277738665,6.915392527773866,2074.61775833216,15925.382241667841,3,528745.6665711855,2021-11-22,25,4697.9599609375,3.1804166836599506,profit_target,14,1090.4927532341749,-557.7771790311824,1120.4927532341749,4613.33984375,4718.5,False,False,False,False,False
2021-12-07,2022-01-21,2022-01-21,4591.669921875,45,0.09543535249526858,0.15051618019874874,0.1340017119753696,27.18000030517578,28.8799991607666,3655.0,3715.0,5250.0,5310.0,60.0,6.2334292694212365,5.833429269421236,1750.028780826371,16249.971219173629,3,529862.8268594235,2021-12-13,39,4712.02001953125,2.5483444353866687,profit_target,4,955.5254502103703,0.0,985.5254502103703,4631.97021484375,4713.56982421875,False,False,False,False,False
2021-12-13,2022-01-21,2022-01-21,4712.02001953125,39,0.06109352515646649,0.1695938458352566,0.140557065402073,18.690000534057617,23.18000030517578,4075.0,4135.0,5145.0,5205.0,60.0,6.684089320308885,6.284089320308885,1885.2267960926656,16114.773203907334,3,530823.8164097782,2021-12-23,29,4696.56005859375,3.085033240600177,profit_target,8,929.7168239126125,-467.64900870195123,959.7168239126125,4531.10009765625,4731.990234375,False,False,False,False,True
2022-01-04,2022-02-18,2022-02-18,4796.56005859375,45,0.05828649264310266,0.16242493417268639,0.1357549164787365,16.600000381469727,21.530000686645508,4175.0,4235.0,5215.0,5275.0,60.0,7.879598822936572,7.4795988229365715,2243.8796468809714,15756.120353119026,3,531773.3428652398,2022-01-28,21,4326.509765625,18.738050794620435,dte_exit,17,-3407.5355915051587,-3377.5355915051587,802.9911206504626,4222.6201171875,4818.6201171875,True,False,False,False,False
2022-02-01,2022-03-18,2022-03-18,4515.5498046875,45,0.08718395027851174,0.1823931973117765,0.16404409934942454,24.829999923706055,26.850000381469727,3670.0,3730.0,5105.0,5165.0,60.0,6.347133442653188,5.947133442653188,1784.1400327959564,16215.859967204042,3,528426.0708669013,2022-02-10,36,4587.18017578125,2.847193075064611,profit_target,7,899.9821102765732,0.0,929.9821102765732,4451.5,4595.31005859375,False,False,False,False,False
2022-02-10,2022-03-18,2022-03-18,4587.18017578125,36,0.06490181433712429,0.20665790364831949,0.17552201062745065,19.959999084472656,23.489999771118164,3930.0,3990.0,5035.0,5095.0,60.0,5.383630310709009,4.9836303107090085,1495.0890932127024,16504.910906787296,3,529356.254337497,2022-02-25,21,4288.7001953125,9.424196793038302,dte_exit,10,-1362.169944698788,-2084.8878594261105,0.0,4114.64990234375,4588.919921875,False,False,False,False,True
2022-02-28,2022-04-14,2022-04-15,4384.64990234375,45,0.09687495807000912,0.2419912937620214,0.2012660840542342,27.59000015258789,28.040000915527344,3480.0,3535.0,5020.0,5075.0,55.0,5.413469422353643,5.0134694223536425,1504.0408267060927,14995.959173293906,3,528092.7093660977,2022-03-17,28,4357.85986328125,2.0537353408738936,profit_target,13,857.9202244439248,-775.1160466282126,887.9202244439248,4157.8701171875,4416.77978515625,False,False,False,False,False
2022-04-05,2022-05-20,2022-05-20,4582.64013671875,45,0.07862471801497475,0.22392329506482636,0.21356070814947253,18.56999969482422,23.030000686645508,3800.0,3860.0,5125.0,5185.0,60.0,4.318302536874668,3.9183025368746685,1175.4907610624005,16824.5092389376,3,529182.1925102876,2022-04-29,21,4287.5,5.382425211983356,dte_exit,17,-469.2368025326062,-1824.5552051769919,534.2279314768966,4162.89990234375,4593.4501953125,False,False,False,False,False
