month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2010-01,2010-01-29,458196.8643742764,458196.8643742764,0.0,20.883756829156077,-11.680285689793806,2,19,9.20347113936441,-11.680285689791667,2.008668483394638e-05
2010-02,2010-02-26,458317.7054425449,458317.7054425449,0.0,36.16636829612373,84.67469997233674,3,19,120.84106826846255,84.67469997233883,0.00026373176611211804
2010-03,2010-03-31,458340.9172247913,458340.9172247913,0.0,61.90982094325678,-38.69803869683757,0,23,23.211782246420626,-38.69803869683616,5.064561541214662e-05
2010-04,2010-04-30,458467.5318059723,458467.5318059723,0.0,61.91679847198719,64.6977827089846,1,21,126.61458118096925,64.69778270898206,0.0002762454243614294
2010-05,2010-05-28,458220.39767593925,458220.39767593925,0.0,56.32832821351683,-303.46245824648844,10,20,-247.13413003302412,-303.46245824654096,-0.0005390439079939331
2010-06,2010-06-30,458283.09677141655,458283.09677141655,0.0,52.84368076348197,9.855414713869187,5,22,62.69909547729185,9.855414713809878,0.00013683174253109885
2010-07,2010-07-30,458347.85056555545,458347.85056555545,0.0,60.76414624520559,3.989647893762278,0,21,64.75379413890187,3.9896478936962794,0.00014129649248486228
2010-08,2010-08-31,458142.8502861739,458551.21335573477,-408.363069560848,63.55762006128877,-98.55789944283846,0,22,-205.00027938152198,-268.55789944281076,-0.00044725917036279785
2010-09,2010-09-30,458287.30077674787,458287.30077674787,0.0,57.197496347302234,-82.74700577331025,0,21,144.450490573945,87.25299422664276,0.0003152957434208906
2010-10,2010-10-29,458409.8071051056,458409.8071051056,0.0,50.95331016033039,71.55301819751827,0,21,122.50632835773285,71.55301819740247,0.00026731338212972026
2010-11,2010-11-30,458567.1967364364,458567.1967364364,0.0,56.57050442066971,100.8191269102292,1,21,157.38963133079233,100.81912691012262,0.0003433382726358329
2010-12,2010-12-31,458732.0895474511,458732.0895474511,0.0,57.23074490821064,107.66206610646849,0,22,164.89281101472443,107.66206610651379,0.00035958265699824433
2011-01,2011-01-31,458902.1373131841,458902.1373131841,0.0,58.529265350633295,111.51850038246201,0,20,170.04776573297568,111.51850038234238,0.0003706908010310144
2011-02,2011-02-28,458947.3070140295,458947.3070140295,0.0,45.66090576429693,-0.4912049189516736,0,19,45.16970084537752,-0.4912049189194079,9.84299203961886e-05
2011-03,2011-03-31,459076.1589217697,459076.1589217697,0.0,40.308739826916636,88.54316791331415,4,23,128.85190774023067,88.54316791331404,0.0002807553411274114
2011-04,2011-04-29,459211.5035579919,459211.5035579919,0.0,23.729681161648205,111.61495506069116,0,20,135.344636222173,111.61495506052479,0.00029481957098372605
2011-05,2011-05-31,459216.7531979024,459601.4599038179,-384.70670591549975,15.827440317733252,159.42219959276267,0,21,5.249639910529368,-10.577800407203885,1.1431856279415728e-05
2011-06,2011-06-30,459381.0558766449,459381.0558766449,0.0,15.06515292219733,-20.762474179623762,1,22,164.3026787425042,149.23752582030687,0.00035778894737252087
2011-07,2011-07-29,459260.871487206,459260.871487206,0.0,11.490166409156206,-131.6745558479616,2,20,-120.18438943888759,-131.6745558480438,-0.0002616224328396338
2011-08,2011-08-31,459273.37457163335,459273.37457163335,0.0,12.503084427300124,0.0,23,23,12.503084427327849,2.772537754935911e-11,2.722436245622148e-05
2011-09,2011-09-30,459253.217080336,459253.217080336,0.0,5.1039854171130035,-25.26147671452346,14,21,-20.157491297344677,-25.26147671445768,-4.388996273982935e-05
2011-10,2011-10-31,459042.9029860568,459042.9029860568,0.0,7.784370963840124,-218.09846524303865,5,21,-210.31409427919425,-218.09846524303438,-0.00045794800440647655
2011-11,2011-11-30,458961.2702004908,458961.2702004908,0.0,5.355883081489902,-86.98866864752986,2,21,-81.63278556603473,-86.98866864752463,-0.00017783258391539556
2011-12,2011-12-30,459059.49350961996,459059.49350961996,0.0,3.825822945836681,94.39748618332229,0,21,98.22330912918551,94.39748618334883,0.00021401219559610778
2012-01,2012-01-31,458944.5076343452,459251.16827291023,-306.6606385649986,12.883052941587383,42.13107178373789,0,20,-114.9858752747532,-127.86892821634058,-0.00025048142321523205
2012-02,2012-02-29,459184.7059754949,459184.7059754949,0.0,33.04425047985022,37.15409066976633,0,20,240.19834114966216,207.15409066981192,0.0005233712075295939
2012-03,2012-03-30,459401.47669192095,459401.47669192095,0.0,32.29303998518162,184.47767644097556,0,22,216.77071642607916,184.47767644089754,0.0004720773876071723
2012-04,2012-04-30,459602.22181711474,459602.22181711474,0.0,32.1827058163835,168.56241937742317,0,20,200.74512519378914,168.56241937740563,0.0004369710054902822
